ja	and
journalisti	journalist
kunnallistekniikka	municipal engineering
oikeusjuttu	lawsuit, suit, case
parivaljakko	pair of horses
alppihiihto	alpine skiing, downhill skiing
metso	wood grouse, capercaillie, Tetrao urogallus
uskomus	belief
yleiskaava	zoning plan, zoning scheme
aviopari	A married couple.
hyvinvointiyhteiskunta	welfare society
veneilijä	boater
divari	antiquarian bookshop
hämmennys	confusion, bafflement
iltapäivälehti	tabloid
keihäänheitto	javelin throw
kulta	gold
prisma	prism
talonmies	A janitor, caretaker
vappu	May Day, Labor Day
pikkuveli	little brother
puvustus	costumes
talousvaikeus	economic or financial difficulty / problem / trouble
viidesosa	one fifth
välinpitämättömyys	indifference, disregard
kansallisooppera	national opera
nelostie	the Finnish national road number 4
työnjohtaja	A foreman
vaellus	hike
yksityiselämä	private life
ansiotulo	earned income
huumausainerikos	drug crime
integraatio	integration
kokonaisratkaisu	Any comprehensive solution, which takes into account a large number of often contradictory interests.
ruokapöytä	dinner table
siivooja	cleaner, janitor
omatunto	conscience
pulla	cardamom bread
suklaa	chocolate
urheilukenttä	sports field
agenda	An agenda
hallituskausi	A reign, the period of rule.
kiekkoilu	ice hockey
kisko	bar
pääkirjoitus	editorial, leader
vahtimestari	porter, doorkeeper, doorman
lapsenlapsi	grandchild
naaras	female
pronssimitali	bronze medal
soppa	soup
terapia	therapy
ulkoasu	outfit, appearance
kalja	beer
levittäminen	spreading
länsiosa	western part
neuvola	child health centre
ihmisyys	humanity, manhood
margariini	margarine
soveltaminen	application
aikalisä	A time-out.
alkupuolisko	first half of anything, like of a period of time, semester, holiday, trip etc.
harmaa	The colour grey/gray.
kaukolämpö	district heating
kuula	Abullet.
metsätalousministeri	Minister of Forestry, a former minister position in the Finnish government.
opintotuki	student allowance
perheyritys	family business
yksinhuoltaja	single parent
kolari	A crash, collision, especially an automobile accident.
syrjäseutu	periphery
kuuntelija	listener
varovaisuus	caution, concern, care
edustusto	representation
eläkepäivä	A day of being retired; mostly used in pluralto denote retirement.
koulukiusaaminen	school bullying
loppukiri	final spurt
länsipuoli	westside
hanska	A glove.
jaosto	division
loppusarja	finals
pesäpalloilu	The sport and practice of playing pesäpallo.
reviiri	territory
autoilu	motoring
euromaa	euro country
hirmumyrsky	a hurricane
kymmenesosa	tenth
palvelutaso	service level
prostituutio	prostitution
rankkasade	rainstorm, cloudburst
ritari	knight
suomenruotsalainen	Swedish Finn
ankka	domestic duck
haka	hook, clasp
toimivalta	jurisdiction
tuhka	ash
vesihuolto	water supply
välimatka	distance
yhteenveto	summary or synopsis
harjoittelija	intern, trainee, apprentice, student
kolhu	Minor damage; chip, knock, dimple, ding, dent.
käsityöläinen	artisan
jersey	jersey
juhlija	celebrator
naru	cord, line, rope
panimo	brewery
lahtelainen	A person from, or an inhabitant of, Lahti
leveys	The width or breadth of an object.
psykiatri	psychiatrist
työväenyhdistys	"A workers' association founded by and working for the benefit of workers in its area of operation."
väkijoukko	crowd
antaja	giver
kansaneläkelaitos	An uncapitalized form sometimes used of Kansaneläkelaitos, a government branch that administers and provides social security benefits for all residents of Finland.
kaunotar	A beauty
liikennemerkki	traffic sign
nostalgia	nostalgia
ruokakauppa	"grocery, grocer's, grocery store"
samppanja	champagne
tulehdus	An inflammation.
meikäläinen	one of us
suojatie	crosswalk, pedestrian crossing
uurna	An urn, casket.
vapautus	liberation
jälkikasvu	offspring, progeny
jäsenmaksu	membership fee, dues, subscription
lähde	spring
pienoismalli	miniature, model
konsepti	concept
opettaminen	teaching
ruis	rye
valhe	lie, fabrication
arvailu	act of guessing
kiinteistö	real estate
rako	slit, slot
ranne	wrist
suvaitsevaisuus	tolerance
tuottajahinta	producer price
uusnatsi	A Neo-Nazi.
ylähuone	upper house, upper chamber; House of Lords
autourheilu	autosport
esiintymä	deposit
kaato	felling
kauppatori	marketplace
kodinkone	household appliance, home appliance, domestic appliance
matkustajamäärä	number of passengers
näkeminen	seeing
taulukko	table, matrix, grid
televisiokanava	television channel
huuma	ecstasy, agony
innovaatio	innovation
pelastustyö	rescue work
salmi	inlet, sound
veronkevennys	tax cut
hoitokoti	nursing home
kilpi	shield, protective armor
kolesteroli	cholesterol
käyttöaste	utilization rate
olento	being
peru	heritage
sotainvalidi	war invalid
tuomiokirkko	cathedral
hasis	hashish
jouluaatto	Christmas Eve
keskustapuolue	a former name of the Finnish political party Suomen Keskusta, in English officially called the Centre Party
kiusa	nuisance, bother
tarjoilija	waiter
tiedosto	file
tykistö	The artillery
anomus	an application, a plea, a requisition
emu	emu
haarukka	A fork
ikoni	icon
laukka	canter
oikeustiede	jurisprudence, law
pankkikortti	bankcard, bank card
tajunta	consciousness
uhkailu	threatening
jäsenkunta	membership
linja-autoasema	bus station
näköala	view, sight, vista
suuntaviiva	guideline
vitonen	Alternative form of viitonen.
aula	corridor, hallway, lobby
elli	woman
katselija	spectator, watcher
kiristys	extortion, blackmail
korvausvaatimus	A claim
ympäristöjärjestö	environmental organization
auditorio	auditorium
islam	Islam
kuoppa	A pit.
lentopalloilu	volleyball
ihmisoikeusjärjestö	human rights organization
pääomistaja	main owner, largest owner
sävelmä	melody, tune
tuotos	yield, output, return
kuva	picture
romu	scrap, junk, especially one that consists of metal objects.
vakavaraisuus	financial solidity
virtaus	current
eläintarha	zoo
kansallinen	national
panssarivaunu	A tank.
pappa	grandpa, grandfather
rakennuspaikka	building site
ripaus	pinch
suojelija	protector
työväenliike	labor movement
vastaehdokas	rival candidate e.g. in an election
biojäte	biodegradable waste, organic waste
itäosa	eastern part
kovuus	hardness
kuppi	cup
tanner	field
treeni	training
vuokraus	renting
ammattiosasto	A local chapter of a trade union; lodge
häirintä	interference
järkytys	shock, jolt
lajittelu	sorting
murto-osa	fraction
pienyrittäjä	A small entrepreneur
purku	demolition
talvikausi	winter season
boikotti	boycott
jäänne	relic, remain
kunniamerkki	decoration
kymi	Tidal foam.
kämppä	residence, place, apartment, flat
loppiainen	Epiphany
luonnontiede	natural science
paluumuuttaja	An ex-pat who is returning home to live in their birth country.
pääsylippu	ticket
rakennerahasto	A financial tool set up to implement the Regional policy of the European Union with the aim of reducing regional disparities in terms of income, wealth and opportunities.
vanhemmuus	parenthood
viisikko	A group of five.
dekkari	A whodunit, detective story
huumeongelma	drug problem
kotipalvelu	home help service
mielipidetiedustelu	An opinion poll.
munkki	monk
osallisuus	participation, share
paraati	parade
presidentti	A president
sympatia	sympathy
kohtuus	moderation
rosvo	A robber, bandit, brigand.
seppä	smith, blacksmith Kalevala, Kahdeskymmenes runo
virike	stimulus
välttämättömyys	necessity
joukkohauta	mass grave
konsertto	concerto
kyynel	tear
köysi	rope
makuuhuone	bedroom
pilleri	pill
riski	A risk
säestys	accompaniment
tiedotus	advice, information, guidance
tietoliikenne	telecommunication
valssi	waltz
kalastuskunta	A kind of cooperative entrusted with powers to regulate fishing and sell fishing licenses in a stipulated hydrological area. The members are typically the owners of the fishing rights. No established English translation, fishery board might be close.
kalatalous	fishing, fishery, fishing industry
kaupunkikuva	cityscape
metro	An underground, a subway, a Tube or a metro.
minä	ego.
nuotio	campfire, fire
panna	A ban
pääomavero	Short for pääomatulovero
sininen	The color blue.
hoiva	care
laulukilpailu	singing contest
talouspäällikkö	financial manager
tiibet	The Tibetan language.
voittoaika	winning time
henkirikos	A homicide
kontiainen	The European mole
lehtimies	A journalist.
rajanylityspaikka	border crossing
testaus	testing
tuotekehittely	product development
työllistyminen	The act of becoming employed.
veropetos	tax fraud
baritoni	baritone
dramatiikka	dramatics 1977, Aarne Kinnunen, Syvä nauru: tutkimus Paavo Haavikon dramatiikasta, Suomalaisen kirjallisuuden seura, Page 7
kokoontuminen	gathering get-together, party
kommunistipuolue	communist party
kroaatti	Croat
kunnioittaminen	respect, veneration
kysymysmerkki	Question mark, interrogation mark, interrogation point.
loimu	blaze
luola	A cave
luottotappio	bad debt, credit loss
peruskirja	charter
suunnistaja	orienteer
allekirjoittaja	signer
entisaika	old time
joululahja	Christmas present
katkeruus	bitterness
kustos	thesis supervisor
maailmanloppu	end of the world, apocalypse
miliisi	militia
selkäranka	A backbone, spine or spinal column.
tavaramerkki	trademark
ammattikunta	A profession
konkurssipesä	A bankruptcy estate or, more shortly, estate.
puro	stream
tutkijaryhmä	research group
valtakausi	reign
yhteiskoulu	co-ed school
kerto	parallelism
peikko	goblin, hobgoblin, gnome, gremlin
perhe-elämä	family life
varajäsen	A deputy member
abortti	abortion, induced abortion
ilmoittautuminen	enrolment, registration, entrance
kirkko	church
näppi	The tips of the thumb and another finger or fingers pressed together.
orava	squirrel
paini	wrestling
raivo	Fury, rage.
tilauskanta	order backlog
toimeenpano	implementation
veropaketti	tax package
artikla	article
lastentarhanopettaja	kindergarten teacher
myötätunto	sympathy
puolustusliitto	defence accord
rakennusoikeus	the maximum total constructed floor area allowed on a given lot; equal to the product of floor area ratio and the area of the lot.
auktoriteetti	authority
fiktio	fiction
kotityö	domestic work
kranaatti	grenade
lähteminen	leaving
pellava	flax
rekisteröinti	registration
riista	game
elokuvaohjaaja	film director
kulkue	procession
kuuluisuus	A celebrity.
megawatti	megawatt
sovellus	application
betoni	concrete
disko	disco, discotheque
kooste	compilation
liemi	broth
lähiseutu	neighbourhood
poliisipäällikkö	chief constable
taantuma	A recession, depression, economic downturn.
psykiatria	psychiatry
takapiha	backyard
tieliikenne	road traffic
tiima	A moment.
valkoinen	A white colour.
aerobic	aerobics
hartia	shoulder
koskenniska	The place from which rapids in a river start.
kouluttaminen	schooling, training
levä	alga
peura	A reindeer or a caribou, a general term used to refer to the deer species Rangifer tarandus and its twelve sub-species.
sukeltaja	diver
tappaminen	killing.
tiedonanto	notification, announcement, notice
alkuilta	early evening
eteinen	outer hal entr vestibule
huumekauppa	illegal drug trade
laskenta	computation, calculation
matka	trip
sellutehdas	pulp mill
itäpuoli	eastside
jatkaja	One who continues.
kerä	A ball of string.
kidutus	torture
palkintolautakunta	jury
vaje	deficit
akseli	axle, axis, shaft
ironia	irony
kyynele	Alternative form of kyynel.
niukkuus	paucity
terminaali	terminal
ajorata	carriageway
asuntomessu	housing fair
houkutus	temptation
joki	river
kolkka	corner
luotsi	A pilot.
maistraatti	registrar, register office
martta	A female member of the Martha organisation.
osanotto	participation
kansalaisliike	popular movement
markkinointijohtaja	marketing director, director of marketing
myyntitulo	sales revenue, revenue from sales
sääli	pity.
uhkaaja	threatener 2011, IS: Uhkaaja vaanii Jaakonsaarta tekstiviestein, MTV3
influenssa	influenza.
jalostus	selective breeding, cross-breeding and other techniques for developing improvedvarieties or cultivars of plants and animals
kamariorkesteri	chamber orchestra.
lähestymistapa	The manner of an approach.
maalipaikka	An opportunity to score
pysäköinti	parking
akseli	axle, axis, shaft
jätevedenpuhdistamo	wastewater treatment plant
lisärakennus	annex
palkintopalli	podium
palovaroitin	A fire alarm
puoliyö	midnight
epätoivo	despair, desperation
isoveli	A big brother.
pistooli	pistol
pitkäsoitto	LP record
poikaystävä	boyfriend
seuraamus	Sanction.
aisa	shaft
esikoulu	preschool, nursery school
markkina-alue	market sector
notkahdus	bend
nyrkkeilijä	boxer, pugilist
paperikone	paper machine
puolueettomuus	impartiality
raakaöljy	crude oil
silmäkulma	the corner of the eye
tytti	girl
valittaja	Moaner, groaner
virkaveli	colleague
ajanlasku	chronology
apina	monkey
auttaja	A helper; one who helps.
kerrostaloasunto	An apartment in an apartment building.
kotieläin	domestic animal, domesticated animal
luokitus	rating
riitti	A rite.
sisäpiiri	insiders
valtiovierailu	state visit
olla	to be
ei	no, not
saada	to get, receive
voida	can, to be able to
tulla	to come
tehdä	to do; to make
pitää	to like, be fond of
sanoa	to say, tell
kertoa	to tell
jäädä	to stay, remain
ottaa	to take
antaa	to give
haluta	to want
alkaa	to begin, start
käydä	to go; to go by; to visit
päästä	to get to, reach, arrive at/in
toimia	to work, function
mennä	to go
joutua	to get; to end up in; to be forced
käyttää	to use, make use of‚ employ, apply, utilize, exploit, take advantage of, exert
kuulua	to be heard/audible
lähteä	to leave, go, depart
tarvita	to need, require
nousta	to rise
nähdä	to see
todeta	to state, note; to notice, discover, find
seurata	to follow, accompany
tietää	to know
maksaa	to cost; to pay
vaatia	to require, ask; to demand, insist, require, call for
löytyä	to be found, be discovered, turn up
